,slide_name,Fibrosis Percentage,scar,group,study,expanded_analysis,total_nuclei,total_connexins,total_connexin_area,total_mean_plaque_size,total_connexin_count_per_cell,annotation_area,total_connexin_area_per_cell,total_connexins_per_annotation_area,total_nuclei_count_per_annotation_area,total_nuclei_area_per_annotation_area,subject,sample,section,location,spacing
193,11-12A,11.47,border,infarct,sbrt,,,,,,,,,,,,11,12A,12,base,3.0
194,11-12B,25.66,border,infarct,sbrt,,,,,,,,,,,,11,12B,12,base,3.0
195,11-12C,3.14,healthy,infarct,sbrt,,,,,,,,,,,,11,12C,12,base,3.0
196,11-13A,12.06,border,infarct,sbrt,,,,,,,,,,,,11,13A,13,base,3.0
197,11-13B,2.54,healthy,infarct,sbrt,,,,,,,,,,,,11,13B,13,base,3.0
198,11-14A,6.24,healthy,infarct,sbrt,,,,,,,,,,,,11,14A,14,base,3.0
199,11-14B,3.18,healthy,infarct,sbrt,,,,,,,,,,,,11,14B,14,base,3.0
200,11-18A,2.35,healthy,infarct,sbrt,False,437648.0,2061958.0,25748632.25,12.487466888268335,4.711453039885936,2499606,58.834113831206814,10.301076349632702,0.17508679367868377,2.642465252523798,11,18A,18,base,3.0
201,11-18B,3.71,healthy,infarct,sbrt,,,,,,,,,,,,11,18B,18,base,3.0
202,11-1A,32.74,border,infarct,sbrt,,,,,,,,,,,,11,1A,1,apex,3.0
203,11-1B,80.4,center,infarct,sbrt,,,,,,,,,,,,11,1B,1,apex,3.0
204,11-22A,3.01,healthy,infarct,sbrt,,,,,,,,,,,,11,22A,22,base,3.0
205,11-22B,2.78,healthy,infarct,sbrt,,,,,,,,,,,,11,22B,22,base,3.0
206,11-2A,45.92,border,infarct,sbrt,False,444549.0,596269.0,7619262.0,12.778229289129571,1.3412897115953473,1040818,17.13930747791582,7.320455641620341,0.4271150191484006,7.59598892409624,11,2A,2,apex,3.0
207,11-2B,80.46,center,infarct,sbrt,False,1160703.0,1081248.0,14747404.5,13.63924326334014,0.9315457959529699,1095743,12.705579721944373,13.458816985369744,1.0592839744356113,20.857214693591473,11,2B,2,apex,3.0
208,11-2C,34.06,border,infarct,sbrt,,,,,,,,,,,,11,2C,2,apex,3.0
209,11-2D,35.17,border,infarct,sbrt,,,,,,,,,,,,11,2D,2,apex,3.0
210,11-3A,52.39,border,infarct,sbrt,,,,,,,,,,,,11,3A,3,apex,3.0
211,11-3B,37.94,border,infarct,sbrt,,,,,,,,,,,,11,3B,3,apex,3.0
212,11-3C,33.12,border,infarct,sbrt,,,,,,,,,,,,11,3C,3,apex,3.0
213,11-3D,41.64,border,infarct,sbrt,,,,,,,,,,,,11,3D,3,apex,3.0
214,11-4A,71.01,center,infarct,sbrt,,,,,,,,,,,,11,4A,4,apex,3.0
215,11-4B,63.94,center,infarct,sbrt,,,,,,,,,,,,11,4B,4,apex,3.0
216,11-4C,59.48,border,infarct,sbrt,,,,,,,,,,,,11,4C,4,apex,3.0
217,11-4D,16.08,border,infarct,sbrt,,,,,,,,,,,,11,4D,4,apex,3.0
218,11-4E,37.64,border,infarct,sbrt,,,,,,,,,,,,11,4E,4,apex,3.0
219,11-5A,71.15,center,infarct,sbrt,False,628360.0,462247.0,6060851.5,13.11171624694157,0.735640397224521,1090607,9.645508148195303,5.557319456046037,0.576156213924906,12.918673729400233,11,5A,5,mid,3.0
220,11-5B,57.88,border,infarct,sbrt,False,588338.0,661695.0,8749820.5,13.223343836661906,1.124685129976306,1261948,14.872098181657483,6.933582445552432,0.4662141387759242,9.35378577405725,11,5B,5,mid,3.0
221,11-5C,18.36,border,infarct,sbrt,,,,,,,,,,,,11,5C,5,mid,3.0
222,11-5D,45.12,border,infarct,sbrt,,,,,,,,,,,,11,5D,5,mid,3.0
223,11-6A,37.21,border,infarct,sbrt,,,,,,,,,,,,11,6A,6,mid,3.0
224,11-6B,17.06,border,infarct,sbrt,,,,,,,,,,,,11,6B,6,mid,3.0
225,11-6C,3.85,healthy,infarct,sbrt,,,,,,,,,,,,11,6C,6,mid,3.0
226,11-6D,22.47,border,infarct,sbrt,,,,,,,,,,,,11,6D,6,mid,3.0
227,11-7A,46.37,center,infarct,sbrt,,,,,,,,,,,,11,7A,7,mid,3.0
228,11-7B,13.87,border,infarct,sbrt,,,,,,,,,,,,11,7B,7,mid,3.0
229,11-7C,2.16,healthy,infarct,sbrt,,,,,,,,,,,,11,7C,7,mid,3.0
230,11-7D,22.64,border,infarct,sbrt,,,,,,,,,,,,11,7D,7,mid,3.0
231,11-8A,24.25,border,infarct,sbrt,False,344533.0,421236.0,5502782.25,13.063418724895309,1.222628891862318,765769,15.971713159552205,7.185955882256921,0.4499176644653936,8.607484437212788,11,8A,8,mid,3.0
232,11-8B,25.39,border,infarct,sbrt,False,321826.0,427442.0,5483105.5,12.827718146555556,1.3281773380646684,749268,17.037484541336003,7.3179496521938745,0.4295205453856297,7.3498134178958665,11,8B,8,mid,3.0
233,11-8C,2.3,healthy,infarct,sbrt,,,,,,,,,,,,11,8C,8,mid,3.0
234,11-8D,8.49,border,infarct,sbrt,,,,,,,,,,,,11,8D,8,mid,3.0
235,11-9A,30.89,border,infarct,sbrt,,,,,,,,,,,,11,9A,9,mid,3.0
236,11-9B,43.2,border,infarct,sbrt,,,,,,,,,,,,11,9B,9,mid,3.0
