,slide_name,Fibrosis Percentage,scar,group,study,expanded_analysis,total_nuclei,total_connexins,total_connexin_area,total_mean_plaque_size,total_connexin_count_per_cell,annotation_area,total_connexin_area_per_cell,total_connexins_per_annotation_area,total_nuclei_count_per_annotation_area,total_nuclei_area_per_annotation_area,subject,sample,section,location,spacing
0,03-01,52.35,center,radiation,sbrt,,,,,,,,,,,,3,01,1,apex,3.0
1,03-10A,46.88,center,radiation,sbrt,,,,,,,,,,,,3,10A,10,base,3.0
2,03-10B,14.51,border,radiation,sbrt,,,,,,,,,,,,3,10B,10,base,3.0
3,03-10C,0.76,healthy,radiation,sbrt,,,,,,,,,,,,3,10C,10,base,3.0
4,03-11B,7.96,border,radiation,sbrt,,,,,,,,,,,,3,11B,11,base,3.0
5,03-11C,2.24,healthy,radiation,sbrt,,,,,,,,,,,,3,11C,11,base,3.0
6,03-12A,7.61,border,radiation,sbrt,,,,,,,,,,,,3,12A,12,base,3.0
7,03-12B,1.47,healthy,radiation,sbrt,,,,,,,,,,,,3,12B,12,base,3.0
8,03-13B,1.4,healthy,radiation,sbrt,,,,,,,,,,,,3,13B,13,base,3.0
9,03-15A,2.96,healthy,radiation,sbrt,,,,,,,,,,,,3,15A,15,base,3.0
10,03-15B,0.68,healthy,radiation,sbrt,,,,,,,,,,,,3,15B,15,base,3.0
11,03-17A,1.46,healthy,radiation,sbrt,,,,,,,,,,,,3,17A,17,base,3.0
12,03-17B,4.21,healthy,radiation,sbrt,,,,,,,,,,,,3,17B,17,base,3.0
13,03-2A,61.09,center,radiation,sbrt,,,,,,,,,,,,3,2A,2,apex,3.0
14,03-3A,42.52,center,radiation,sbrt,,,,,,,,,,,,3,3A,3,apex,3.0
15,03-3B,53.11,center,radiation,sbrt,,,,,,,,,,,,3,3B,3,apex,3.0
16,03-3C,13.29,healthy,radiation,sbrt,,,,,,,,,,,,3,3C,3,apex,3.0
17,03-4A,49.54,center,radiation,sbrt,,,,,,,,,,,,3,4A,4,apex,3.0
18,03-4B,54.03,center,radiation,sbrt,,,,,,,,,,,,3,4B,4,apex,3.0
19,03-4C,15.35,healthy,radiation,sbrt,,,,,,,,,,,,3,4C,4,apex,3.0
20,03-5A,50.14,center,radiation,sbrt,,,,,,,,,,,,3,5A,5,mid,3.0
21,03-5B,70.87,center,radiation,sbrt,,,,,,,,,,,,3,5B,5,mid,3.0
22,03-5C,3.29,healthy,radiation,sbrt,,,,,,,,,,,,3,5C,5,mid,3.0
23,03-6A,42.14,center,radiation,sbrt,,,,,,,,,,,,3,6A,6,mid,3.0
24,03-6B,89.04,center,radiation,sbrt,,,,,,,,,,,,3,6B,6,mid,3.0
25,03-6C,37.97,center,radiation,sbrt,,,,,,,,,,,,3,6C,6,mid,3.0
26,03-6D,4.65,healthy,radiation,sbrt,,,,,,,,,,,,3,6D,6,mid,3.0
27,03-7A,38.79,center,radiation,sbrt,,,,,,,,,,,,3,7A,7,mid,3.0
28,03-7B,68.88,center,radiation,sbrt,,,,,,,,,,,,3,7B,7,mid,3.0
29,03-7C,86.29,center,radiation,sbrt,,,,,,,,,,,,3,7C,7,mid,3.0
30,03-7D,0.51,healthy,radiation,sbrt,,,,,,,,,,,,3,7D,7,mid,3.0
31,03-8B,53.59,center,radiation,sbrt,,,,,,,,,,,,3,8B,8,mid,3.0
32,03-8C,29.11,border,radiation,sbrt,,,,,,,,,,,,3,8C,8,mid,3.0
33,03-8D,0.66,healthy,radiation,sbrt,,,,,,,,,,,,3,8D,8,mid,3.0
34,03-9A,39.16,center,radiation,sbrt,,,,,,,,,,,,3,9A,9,mid,3.0
35,03-9B,49.09,center,radiation,sbrt,,,,,,,,,,,,3,9B,9,mid,3.0
36,03-9C,1.01,healthy,radiation,sbrt,,,,,,,,,,,,3,9C,9,mid,3.0
37,04-01,80.83,,infarct,sbrt,,,,,,,,,,,,4,01,1,apex,3.0
38,04-10A,31.31,border,infarct,sbrt,False,509122.0,696709.0,9201353.0,13.206881208653828,1.3684519623980107,1205831,18.07298250713974,7.6307152494835515,0.42221671196046545,8.263113777967227,4,10A,10,base,3.0
39,04-10B,4.43,healthy,infarct,sbrt,False,529882.0,815204.0,11081212.0,13.593176677248884,1.5384632805039613,1345086,20.912603183350257,8.238292570140496,0.39393912359507127,7.597035245330038,4,10B,10,base,3.0
40,04-10C,35.56,border,infarct,sbrt,False,145519.0,95901.0,1225547.25,12.779295836331217,0.6590273435084079,241420,8.421905386925419,5.076411440642863,0.6027628199817745,7.832276737635656,4,10C,10,base,3.0
41,04-11A,41.9,center,infarct,sbrt,,,,,,,,,,,,4,11A,11,base,3.0
42,04-11B,1.78,healthy,infarct,sbrt,,,,,,,,,,,,4,11B,11,base,3.0
43,04-11C,35.79,border,infarct,sbrt,,,,,,,,,,,,4,11C,11,base,3.0
44,04-12B,,,,,False,117004.0,264948.0,3537016.5,13.349851669006748,2.264435403917815,381952,30.22987675635021,9.260369103971179,0.30633168565683644,4.12781056258378,4,12B,12,,
45,04-14A,0.29,healthy,infarct,sbrt,,,,,,,,,,,,4,14A,14,base,3.0
46,04-14B,1.29,healthy,infarct,sbrt,,,,,,,,,,,,4,14B,14,base,3.0
47,04-14C,8.69,healthy,infarct,sbrt,,,,,,,,,,,,4,14C,14,base,3.0
48,04-15A,1.72,healthy,infarct,sbrt,,,,,,,,,,,,4,15A,15,base,3.0
49,04-15B,1.92,healthy,infarct,sbrt,,,,,,,,,,,,4,15B,15,base,3.0
50,04-15C,0.78,healthy,infarct,sbrt,,,,,,,,,,,,4,15C,15,base,3.0
51,04-20A,1.42,healthy,infarct,sbrt,,,,,,,,,,,,4,20A,20,base,3.0
52,04-20B,0.45,healthy,infarct,sbrt,,,,,,,,,,,,4,20B,20,base,3.0
53,04-20C,0.52,healthy,infarct,sbrt,,,,,,,,,,,,4,20C,20,base,3.0
54,04-2A,88.26,border,infarct,sbrt,,,,,,,,,,,,4,2A,2,apex,3.0
55,04-2B,8.79,healthy,infarct,sbrt,,,,,,,,,,,,4,2B,2,apex,3.0
56,04-3D,49.68,healthy,infarct,sbrt,,,,,,,,,,,,4,3D,3,apex,3.0
57,04-4A,78.38,center,infarct,sbrt,,,,,,,,,,,,4,4A,4,apex,3.0
58,04-4B,85.16,border,infarct,sbrt,,,,,,,,,,,,4,4B,4,apex,3.0
59,04-4C,41.33,healthy,infarct,sbrt,,,,,,,,,,,,4,4C,4,apex,3.0
60,04-4D,1.68,healthy,infarct,sbrt,,,,,,,,,,,,4,4D,4,apex,3.0
61,04-5A,83.17,center,infarct,sbrt,,,,,,,,,,,,4,5A,5,mid,3.0
62,04-5B,79.04,border,infarct,sbrt,,,,,,,,,,,,4,5B,5,mid,3.0
63,04-5C,40.02,healthy,infarct,sbrt,,,,,,,,,,,,4,5C,5,mid,3.0
64,04-5D,48.89,healthy,infarct,sbrt,,,,,,,,,,,,4,5D,5,mid,3.0
65,04-5E,76.0,border,infarct,sbrt,,,,,,,,,,,,4,5E,5,mid,3.0
66,04-6A,83.2,center,infarct,sbrt,,,,,,,,,,,,4,6A,6,mid,3.0
67,04-6B,84.28,border,infarct,sbrt,,,,,,,,,,,,4,6B,6,mid,3.0
68,04-6C,53.98,healthy,infarct,sbrt,,,,,,,,,,,,4,6C,6,mid,3.0
69,04-6D,8.49,healthy,infarct,sbrt,,,,,,,,,,,,4,6D,6,mid,3.0
70,04-6E,8.58,healthy,infarct,sbrt,,,,,,,,,,,,4,6E,6,mid,3.0
71,04-7A,54.85,border,infarct,sbrt,,,,,,,,,,,,4,7A,7,mid,3.0
72,04-7B,5.99,healthy,infarct,sbrt,,,,,,,,,,,,4,7B,7,mid,3.0
73,04-7C,2.27,healthy,infarct,sbrt,,,,,,,,,,,,4,7C,7,mid,3.0
74,04-7D,32.2,healthy,infarct,sbrt,,,,,,,,,,,,4,7D,7,mid,3.0
75,04-7E,49.12,border,infarct,sbrt,,,,,,,,,,,,4,7E,7,mid,3.0
76,04-8A,40.95,border,infarct,sbrt,,,,,,,,,,,,4,8A,8,mid,3.0
77,04-8B,64.69,border,infarct,sbrt,,,,,,,,,,,,4,8B,8,mid,3.0
78,04-8C,1.16,healthy,infarct,sbrt,,,,,,,,,,,,4,8C,8,mid,3.0
79,04-8D,2.28,healthy,infarct,sbrt,,,,,,,,,,,,4,8D,8,mid,3.0
80,04-9A,48.31,border,infarct,sbrt,,,,,,,,,,,,4,9A,9,mid,3.0
81,04-9C,35.59,border,infarct,sbrt,,,,,,,,,,,,4,9C,9,mid,3.0
82,08-01,6.95,border,radiation,sbrt,,,,,,,,,,,,8,01,1,apex,3.0
83,08-10A,12.66,border,radiation,sbrt,,,,,,,,,,,,8,10A,10,base,3.0
84,08-10B,2.76,healthy,radiation,sbrt,,,,,,,,,,,,8,10B,10,base,3.0
85,08-11A,2.03,healthy,radiation,sbrt,,,,,,,,,,,,8,11A,11,base,3.0
86,08-11B,1.24,healthy,radiation,sbrt,,,,,,,,,,,,8,11B,11,base,3.0
87,08-13A,3.96,healthy,radiation,sbrt,,,,,,,,,,,,8,13A,13,base,3.0
88,08-13B,1.74,healthy,radiation,sbrt,,,,,,,,,,,,8,13B,13,base,3.0
89,08-14A,10.62,border,radiation,sbrt,,,,,,,,,,,,8,14A,14,base,3.0
90,08-14B,2.31,healthy,radiation,sbrt,False,583399.0,1632096.0,20515734.5,12.57017632541223,2.7975639313745826,2215495,35.165871898991945,9.260113202692851,0.26332670577004236,4.27308716562213,8,14B,14,base,3.0
91,08-15A,3.37,healthy,radiation,sbrt,,,,,,,,,,,,8,15A,15,base,3.0
92,08-15B,1.65,healthy,radiation,sbrt,,,,,,,,,,,,8,15B,15,base,3.0
93,08-2A,44.03,center,radiation,sbrt,False,378981.0,637942.0,8500067.25,13.324200711036427,1.683308661911811,1016923,22.428742469939127,8.358614418200789,0.37267423393904947,8.153575049438354,8,2A,2,apex,3.0
94,08-2B,4.16,healthy,radiation,sbrt,False,223484.0,818441.0,10811637.75,13.210039269782428,3.6621905818761076,1041925,48.37768140001074,10.376598843486816,0.2144914461213619,4.299663363485855,8,2B,2,apex,3.0
95,08-3A,32.87,border,radiation,sbrt,,,,,,,,,,,,8,3A,3,apex,3.0
96,08-3B,42.8,border,radiation,sbrt,,,,,,,,,,,,8,3B,3,apex,3.0
97,08-3C,3.36,healthy,radiation,sbrt,,,,,,,,,,,,8,3C,3,apex,3.0
98,08-4A,43.97,border,radiation,sbrt,,,,,,,,,,,,8,4A,4,apex,3.0
99,08-4B,39.86,border,radiation,sbrt,,,,,,,,,,,,8,4B,4,apex,3.0
100,08-4C,2.26,healthy,radiation,sbrt,,,,,,,,,,,,8,4C,4,apex,3.0
101,08-5A,56.74,center,radiation,sbrt,False,280782.0,179857.0,2307817.5,12.831402169501326,0.6405574431409421,460639,8.219250165608907,5.010034973156854,0.6095489092326095,13.288313082478904,8,5A,5,mid,3.0
102,08-5B,47.45,center,radiation,sbrt,False,347019.0,528827.0,6690631.25,12.651833680958045,1.5239136761964043,875846,19.28030237537426,7.639049844379034,0.396210064326377,8.558195162163212,8,5B,5,mid,3.0
103,08-5C,2.87,healthy,radiation,sbrt,,,,,,,,,,,,8,5C,5,mid,3.0
104,08-6A,53.68,center,radiation,sbrt,,,,,,,,,,,,8,6A,6,mid,3.0
105,08-6B,55.27,center,radiation,sbrt,,,,,,,,,,,,8,6B,6,mid,3.0
106,08-6C,2.84,healthy,radiation,sbrt,,,,,,,,,,,,8,6C,6,mid,3.0
107,08-7A,35.89,center,radiation,sbrt,,,,,,,,,,,,8,7A,7,mid,3.0
108,08-7B,45.36,center,radiation,sbrt,,,,,,,,,,,,8,7B,7,mid,3.0
109,08-7C,4.24,healthy,radiation,sbrt,,,,,,,,,,,,8,7C,7,mid,3.0
110,08-8A,40.84,center,radiation,sbrt,False,415881.0,578335.0,7614332.0,13.16595398860522,1.390626164696151,994216,18.30892009974007,7.658629513103793,0.41830044980165276,9.6851652457816,8,8A,8,mid,3.0
111,08-8B,48.27,center,radiation,sbrt,False,342979.0,164323.0,2097240.0,12.762912069521613,0.4791051347167028,507302,6.114776706445584,4.134105522942941,0.6760844625095112,13.705935517699515,8,8B,8,mid,3.0
112,08-8C,1.5,healthy,radiation,sbrt,,,,,,,,,,,,8,8C,8,mid,3.0
113,08-9A,26.13,border,radiation,sbrt,,,,,,,,,,,,8,9A,9,mid,3.0
114,08-9B,45.56,center,radiation,sbrt,,,,,,,,,,,,8,9B,9,mid,3.0
115,08-9C,1.91,healthy,radiation,sbrt,,,,,,,,,,,,8,9C,9,mid,3.0
116,09-10A,13.13,border,radiation,sbrt,,,,,,,,,,,,9,10A,10,base,3.0
117,09-10B,18.76,border,radiation,sbrt,,,,,,,,,,,,9,10B,10,base,3.0
118,09-10C,1.99,healthy,radiation,sbrt,,,,,,,,,,,,9,10C,10,base,3.0
119,09-11A,37.62,border,radiation,sbrt,,,,,,,,,,,,9,11A,11,base,3.0
120,09-11B,25.86,border,radiation,sbrt,,,,,,,,,,,,9,11B,11,base,3.0
121,09-11C,2.26,healthy,radiation,sbrt,,,,,,,,,,,,9,11C,11,base,3.0
122,09-12A,6.03,healthy,radiation,sbrt,,,,,,,,,,,,9,12A,12,base,3.0
123,09-12B,1.81,healthy,radiation,sbrt,,,,,,,,,,,,9,12B,12,base,3.0
124,09-13A,1.65,healthy,radiation,sbrt,,,,,,,,,,,,9,13A,13,base,3.0
125,09-13B,1.82,healthy,radiation,sbrt,,,,,,,,,,,,9,13B,13,base,3.0
126,09-15A,3.3,healthy,radiation,sbrt,False,289101.0,1215760.0,15858290.0,13.043931368033164,4.205312330292873,1504861,54.853805417483855,10.53804304849418,0.19211143088963034,3.3227575503651168,9,15A,15,base,3.0
127,09-15B,2.41,healthy,radiation,sbrt,,,,,,,,,,,,9,15B,15,base,3.0
128,09-2A,,,,,False,266588.0,616979.0,7886282.0,12.782091448817544,2.3143539844254053,883567,29.58228427386079,8.925505366316306,0.301717922919258,6.068765300197947,9,2A,2,,
129,09-2B,,,,,False,171146.0,581391.0,7880563.25,13.554670178932938,3.397046965748542,752537,46.04585120306639,10.471994400275335,0.2274253624738717,4.733364937537955,9,2B,2,,
130,09-4B,73.08,center,radiation,sbrt,,,,,,,,,,,,9,4B,4,apex,3.0
