,slide_name,Fibrosis Percentage,scar,group,study,expanded_analysis,total_nuclei,total_connexins,total_connexin_area,total_mean_plaque_size,total_connexin_count_per_cell,annotation_area,total_connexin_area_per_cell,total_connexins_per_annotation_area,total_nuclei_count_per_annotation_area,total_nuclei_area_per_annotation_area,subject,sample,section
93,08-13B,1.74,healthy,radiation,sbrt,,,,,,,,,,,,8,13B,13
94,08-14A,10.62,border,radiation,sbrt,,,,,,,,,,,,8,14A,14
95,08-14B,2.31,healthy,radiation,sbrt,FALSE,583399,1632096,20515734.5,12.57017632541223,2.7975639313745826,2215495,35.165871898991945,9.260113202692851,0.26332670577004236,4.273087166,8,14B,14
96,08-15A,3.37,healthy,radiation,sbrt,,,,,,,,,,,,8,15A,15
97,08-15B,1.65,healthy,radiation,sbrt,,,,,,,,,,,,8,15B,15
98,08-2A,44.03,center,radiation,sbrt,FALSE,378981,637942,8500067.25,13.324200711036427,1.683308661911811,1016923,22.428742469939127,8.358614418200789,0.37267423393904947,8.153575049438354,8,2A,2
99,08-2B,4.16,healthy,radiation,sbrt,FALSE,223484,818441,10811637.75,13.210039269782428,3.6621905818761076,1041925,48.37768140001074,10.376598843486816,0.2144914461213619,4.299663363485855,8,2B,2
100,08-3A,32.87,border,radiation,sbrt,,,,,,,,,,,,8,3A,3
101,08-3B,42.8,border,radiation,sbrt,,,,,,,,,,,,8,3B,3
102,08-3C,3.36,healthy,radiation,sbrt,,,,,,,,,,,,8,3C,3
103,08-4A,43.97,border,radiation,sbrt,,,,,,,,,,,,8,4A,4
104,08-4B,39.86,border,radiation,sbrt,,,,,,,,,,,,8,4B,4
105,08-4C,2.26,healthy,radiation,sbrt,,,,,,,,,,,,8,4C,4
106,08-5A,56.74,center,radiation,sbrt,FALSE,280782,179857,2307817.5,12.831402169501326,0.6405574431409421,460639,8.219250165608907,5.010034973156854,0.6095489092326095,13.288313082478904,8,5A,5
107,08-5B,47.45,center,radiation,sbrt,FALSE,347019,528827,6690631.25,12.651833680958045,1.5239136761964043,875846,19.28030237537426,7.639049844379034,0.396210064,8.558195162163212,8,5B,5
108,08-5C,2.87,healthy,radiation,sbrt,,,,,,,,,,,,8,5C,5
109,08-6A,53.68,center,radiation,sbrt,,,,,,,,,,,,8,6A,6
110,08-6B,55.27,center,radiation,sbrt,,,,,,,,,,,,8,6B,6
111,08-6C,2.84,healthy,radiation,sbrt,,,,,,,,,,,,8,6C,6
112,08-7A,35.89,center,radiation,sbrt,,,,,,,,,,,,8,7A,7
113,08-7B,45.36,center,radiation,sbrt,,,,,,,,,,,,8,7B,7
114,08-7C,4.24,healthy,radiation,sbrt,,,,,,,,,,,,8,7C,7
115,08-8A,40.84,center,radiation,sbrt,FALSE,415881,578335,7614332,13.16595398860522,1.390626164696151,994216,18.30892009974007,7.658629513103793,0.41830044980165276,9.685165246,8,8A,8
116,08-8B,48.27,center,radiation,sbrt,FALSE,342979,164323,2097240,12.762912069521613,0.4791051347167028,507302,6.114776706445584,4.134105522942941,0.6760844625095112,13.705935517699515,8,8B,8
