,Fibrosis Percentage,scar,annotation_area,expanded_analysis,group,study,location,sample,section,slide_name,subject,total_connexin_area,total_connexin_area_per_cell,total_connexin_count_per_cell,total_connexins,total_connexins_per_annotation_area,total_mean_plaque_size,total_nuclei,total_nuclei_area_per_annotation_area,total_nuclei_count_per_annotation_area
330,3.2,Healthy,,,control,sbrt,base,16A,16,20-16A,20,,,,,,,,,
331,5.25,Healthy,,,control,sbrt,base,16B,16,20-16B,20,,,,,,,,,
308,3.66,Healthy,,,control,sbrt,mid,5A,5,20-5A,20,,,,,,,,,
309,1.59,Healthy,,,control,sbrt,mid,5B,5,20-5B,20,,,,,,,,,
310,4.54,Healthy,,,control,sbrt,mid,6A,6,20-6A,20,,,,,,,,,
311,1.68,Healthy,,,control,sbrt,mid,6B,6,20-6B,20,,,,,,,,,
312,4,Healthy,,,control,sbrt,mid,7A,7,20-7A,20,,,,,,,,,
313,1.21,Healthy,,,control,sbrt,mid,7B,7,20-7B,20,,,,,,,,,
314,4.69,Healthy,,,control,sbrt,mid,8A,8,20-8A,20,,,,,,,,,
73,52.39,Border,932044,FALSE,control,sbrt,mid,8B,8,20-8B,20,6832770,17.63850812,1.406032351,544666,7.330952187,12.54488072,387378,7.944475797,0.415622009
315,1.59,Healthy,,,control,sbrt,mid,8B,8,20-8B,20,,,,,,,,,
316,3.51,Healthy,,,control,sbrt,mid,9A,9,20-9A,20,,,,,,,,,
317,2.38,Healthy,,,control,sbrt,mid,9B,9,20-9B,20,,,,,,,,,
340,1.84,Healthy,,,control,sbrt,base,10A,10,21-10A,21,,,,,,,,,
74,33.12,Border,1057837,FALSE,control,sbrt,base,10B,10,21-10B,21,6882119.75,14.21250181,1.184575512,573607,6.505841401,11.9979703,484230,7.811649857,0.457754834
341,2.17,Healthy,,,control,sbrt,base,10B,10,21-10B,21,,,,,,,,,
75,41.64,Border,1619370,FALSE,control,sbrt,base,11A,11,21-11A,21,11730427.75,15.72835553,1.17127863,873556,7.243821826,13.42836378,745814,9.531478137,0.460558118
342,1.78,Healthy,,,control,sbrt,base,11A,11,21-11A,21,,,,,,,,,
343,2.55,Healthy,,,control,sbrt,base,11B,11,21-11B,21,,,,,,,,,
344,2.87,Healthy,,,control,sbrt,base,12A,12,21-12A,21,,,,,,,,,
76,71.01,Center,1820723,FALSE,control,sbrt,base,12B,12,21-12B,21,15144531.75,22.31511441,1.682792887,1142056,8.317866996,13.26076107,678667,7.097609988,0.372745882
345,2.34,Healthy,,,control,sbrt,base,12B,12,21-12B,21,,,,,,,,,
346,1.53,Healthy,,,control,sbrt,base,13A,13,21-13A,21,,,,,,,,,
347,1.84,Healthy,,,control,sbrt,base,13B,13,21-13B,21,,,,,,,,,
348,3.58,Healthy,,,control,sbrt,base,14A,14,21-14A,21,,,,,,,,,
349,6.57,Healthy,,,control,sbrt,base,14B,14,21-14B,21,,,,,,,,,
350,1.83,Healthy,,,control,sbrt,base,15A,15,21-15A,21,,,,,,,,,
351,3.62,Healthy,,,control,sbrt,base,15B,15,21-15B,21,,,,,,,,,
352,3.97,Healthy,,,control,sbrt,base,16A,16,21-16A,21,,,,,,,,,
353,2.98,Healthy,,,control,sbrt,base,16B,16,21-16B,21,,,,,,,,,
354,1.45,Healthy,,,control,sbrt,base,17A,17,21-17A,21,,,,,,,,,
77,63.94,Center,1262229,FALSE,control,sbrt,base,17B,17,21-17B,21,8599806.25,13.84415039,1.031963,641042,6.813190198,13.41535539,621187,10.57428961,0.492134945
355,3.06,Healthy,,,control,sbrt,base,17B,17,21-17B,21,,,,,,,,,
332,4.77,Healthy,,,control,sbrt,mid,6A,6,21-6A,21,,,,,,,,,
333,2.58,Healthy,,,control,sbrt,mid,6B,6,21-6B,21,,,,,,,,,
334,2.86,Healthy,,,control,sbrt,mid,7A,7,21-7A,21,,,,,,,,,
335,1.8,Healthy,,,control,sbrt,mid,7B,7,21-7B,21,,,,,,,,,
78,59.48,Border,1591721,FALSE,control,sbrt,mid,8A,8,21-8A,21,13462937.25,23.99489774,1.836913069,1030646,8.458101168,13.06262019,561075,6.627085714,0.352495821
336,4.5,Healthy,,,control,sbrt,mid,8A,8,21-8A,21,,,,,,,,,
337,3.7,Healthy,,,control,sbrt,mid,8B,8,21-8B,21,,,,,,,,,
338,2.93,Healthy,,,control,sbrt,mid,9A,9,21-9A,21,,,,,,,,,
339,2.7,Healthy,,,control,sbrt,mid,9B,9,21-9B,21,,,,,,,,,
