,Fibrosis Percentage,scar,annotation_area,expanded_analysis,group,study,location,sample,section,slide_name,subject,total_connexin_area,total_connexin_area_per_cell,total_connexin_count_per_cell,total_connexins,total_connexins_per_annotation_area,total_mean_plaque_size,total_nuclei,total_nuclei_area_per_annotation_area,total_nuclei_count_per_annotation_area
443,43.97,Border,,,radiation,sbrt,apex,4A,4,08-4A,8,,,,,,,,,
444,39.86,Border,,,radiation,sbrt,apex,4B,4,08-4B,8,,,,,,,,,
445,2.26,Healthy,,,radiation,sbrt,apex,4C,4,08-4C,8,,,,,,,,,
7,2.62,Healthy,460639,FALSE,radiation,sbrt,mid,5A,5,08-5A,8,2307817.5,8.219250166,0.640557443,179857,5.010034973,12.83140217,280782,13.28831308,0.609548909
446,56.74,Center,,,radiation,sbrt,mid,5A,5,08-5A,8,,,,,,,,,
8,59.74,Center,875846,FALSE,radiation,sbrt,mid,5B,5,08-5B,8,6690631.25,19.28030238,1.523913676,528827,7.639049844,12.65183368,347019,8.558195162,0.396210064
447,47.45,Center,,,radiation,sbrt,mid,5B,5,08-5B,8,,,,,,,,,
448,2.87,Healthy,,,radiation,sbrt,mid,5C,5,08-5C,8,,,,,,,,,
449,53.68,Center,,,radiation,sbrt,mid,6A,6,08-6A,8,,,,,,,,,
450,55.27,Center,,,radiation,sbrt,mid,6B,6,08-6B,8,,,,,,,,,
451,2.84,Healthy,,,radiation,sbrt,mid,6C,6,08-6C,8,,,,,,,,,
452,35.89,Center,,,radiation,sbrt,mid,7A,7,08-7A,8,,,,,,,,,
453,45.36,Center,,,radiation,sbrt,mid,7B,7,08-7B,8,,,,,,,,,
454,4.24,Healthy,,,radiation,sbrt,mid,7C,7,08-7C,8,,,,,,,,,
9,65.6,Center,994216,FALSE,radiation,sbrt,mid,8A,8,08-8A,8,7614332,18.3089201,1.390626165,578335,7.658629513,13.16595399,415881,9.685165246,0.41830045
455,40.84,Center,,,radiation,sbrt,mid,8A,8,08-8A,8,,,,,,,,,
10,3.46,Healthy,507302,FALSE,radiation,sbrt,mid,8B,8,08-8B,8,2097240,6.114776706,0.479105135,164323,4.134105523,12.76291207,342979,13.70593552,0.676084463
456,48.27,Center,,,radiation,sbrt,mid,8B,8,08-8B,8,,,,,,,,,
457,1.5,Healthy,,,radiation,sbrt,mid,8C,8,08-8C,8,,,,,,,,,
458,26.13,Border,,,radiation,sbrt,mid,9A,9,08-9A,8,,,,,,,,,
459,45.56,Center,,,radiation,sbrt,mid,9B,9,08-9B,8,,,,,,,,,
460,1.91,Healthy,,,radiation,sbrt,mid,9C,9,08-9C,8,,,,,,,,,
11,45.9,Center,1504861,FALSE,radiation,sbrt,base,15A,15,09-15A,9,15858290,54.853805417483905,4.20531233,1215760,10.53804305,13.04393137,289101,3.32275755,0.192111431
12,49.6,Center,883567,FALSE,radiation,sbrt,apex,2A,2,09-2A,9,7886282,29.58228427,2.314353984,616979,8.925505366,12.78209145,266588,6.0687653,0.301717923
13,31.22,Border,752537,FALSE,radiation,sbrt,apex,2B,2,09-2B,9,7880563.25,46.0458512,3.397046966,581391,10.4719944,13.55467018,171146,4.733364938,0.227425362
14,1.73,Healthy,1035076,FALSE,radiation,sbrt,mid,5A,5,09-5A,9,8666197.25,21.1198615,1.522520678,624742,8.372522646,13.87164181,410334,8.573251143,0.396428861
15,16.82,Border,1149684,FALSE,radiation,sbrt,mid,5B,5,09-5B,9,8677413.25,16.91167302,1.240653905,636582,7.547650702,13.63125764,513102,9.049120454,0.446298287
16,22.85,Border,807968,FALSE,radiation,sbrt,mid,8A,8,09-8A,9,4469623.75,9.503367388,0.717911209,337648,5.531931648,13.23752473,470320,12.00952049,0.582102261
17,21.32,Border,869789,FALSE,radiation,sbrt,mid,8C,8,09-8C,9,6436531.25,18.60763917,1.514509638,523881,7.40010652,12.28624678,345908,7.914270875,0.397691854
18,2.5,Healthy,2462346,FALSE,radiation,sbrt,base,16A,16,10-16A,10,20727502.25,26.0249285,2.091659468,1665898,8.417786229,12.44223971,796448,5.00663077,0.323450888
19,13.13,Border,664212,FALSE,radiation,sbrt,apex,2A,2,10-2A,10,3659597.75,10.19290025,0.849997493,305178,5.509683279,11.99168272,359034,11.24758624,0.540541273
20,18.76,Border,1040437,FALSE,radiation,sbrt,apex,2B,2,10-2B,10,8493465,22.82649535,1.796212186,668349,8.163363087,12.70812854,372088,6.745240702,0.357626651
21,1.99,Healthy,621525,FALSE,radiation,sbrt,mid,5A,5,10-5A,10,4874532.75,18.48388335,1.356778832,357807,7.842858694,13.6233577,263718,9.167949399,0.424307952
22,37.62,Border,493435,FALSE,radiation,sbrt,mid,5B,5,10-5B,10,1385894.25,3.577997124,0.273913223,106097,2.808666288,13.06252062,387338,16.67083962,0.784982824
23,25.86,Border,596869,FALSE,radiation,sbrt,mid,5C,5,10-5C,10,3761084.25,12.02938754,0.909015602,284211,6.301356328,13.23342253,312658,11.12822663,0.523830187
